,Max_Index,Max_Value
Alpha_o_7DAYMADRS_corr,16871,0.722046527
Beta_s_7DAYMADRS_corr,22779,0.702958853
Theta_o_7DAYMADRS_corr,13464,0.701681464
Alpha_s_7DAYMADRS_corr,12835,0.699383639
Theta_s_7DAYMADRS_corr,3408,0.687122976
Beta_o_7DAYMADRS_corr,7985,0.670517043
Gamma_s_7DAYMADRS_corr,3266,0.621263285
Gamma_o_7DAYMADRS_corr,17744,0.591475953
