,Alpha_o_7DAYMADRS_corr,Alpha_s_7DAYMADRS_corr,Beta_o_7DAYMADRS_corr,Beta_s_7DAYMADRS_corr,Gamma_o_7DAYMADRS_corr,Gamma_s_7DAYMADRS_corr,Theta_o_7DAYMADRS_corr,Theta_s_7DAYMADRS_corr
60,0.171296476,0.058932555,0.126782319,0.020921408,0.000509552,0.041805004,0.109984401,3.40E-05
61,0.027347687,0.07814993,0.101868879,0.106167974,0.173575954,0.112923184,0.074251993,0.032739699
62,0.089534933,0.047575212,0.032904263,0.011455888,0.01284481,0.043922805,0.043798784,0.007388864
63,0.221166448,0.001621643,0.267916894,0.02073357,0.253706425,0.000483362,0.211579296,0.012059493
64,0.00500792,0.047335909,0.057436519,0.093385884,0.052504117,0.120906851,0.003093522,0.045454215
65,0.131892523,0.094430555,0.164932521,0.222487755,0.13325472,0.214679463,0.091098254,0.00621349
66,0.000103298,0.064151089,0.104694963,0.108134943,0.08235415,0.100899441,0.007658727,0.00317925
67,0.025188432,0.122971575,0.03314833,0.194347069,0.027910098,0.263456076,0.046072238,0.080194314
68,0.185687702,0.041966577,0.191877075,0.094443922,0.170292376,0.091426311,0.135258674,0.018303985
69,0.024373539,0.041066294,0.007428783,0.052872211,0.057693231,0.101020324,0.035788383,0.00729841
70,0.000393832,0.000637813,2.04E-07,0.002658268,0.003541778,0.006269045,0.000744355,0.012876003
71,0.156090051,1.55E-06,0.112900031,0.000310944,0.0335191,0.011817707,0.255735222,0.012705324
72,0.044320147,0.000388996,0.011221687,3.09E-05,0.001599989,0.000139672,0.004838417,0.002437191
73,0.047499313,0.071061567,0.033771328,0.196638129,0.046913918,0.160995033,0.00791503,0.086241373
74,0.030902187,0.003410985,0.008193171,0.002824575,0.040379558,0.015765758,0.086858084,0.00654498
75,0.010660725,0.003992532,6.53E-07,0.010594941,0.012210519,0.018340935,0.002771722,0.030754216
76,0.027780381,0.248482837,0.073298589,0.137346586,0.058665731,0.029649451,0.004477665,0.180204565
77,0.084782028,0.00264149,0.084769648,0.005714961,0.049802818,0.006282398,0.063762283,0.000345473
78,0.116210193,0.109024537,0.157016795,0.083170238,0.13882212,0.129262405,0.084958977,0.083995706
79,0.122913825,0.134497721,0.150802226,0.120228927,0.105165962,0.125073517,0.074994011,0.131176459
80,0.096609105,0.086281576,0.119595034,0.083158213,0.106494628,0.061649199,0.093947008,0.022690182
81,0.049747927,0.120897095,0.179870763,0.100201551,0.163724845,0.039000136,0.033192304,0.072999532
82,0.009784971,0.017790884,0.053417679,0.047280371,0.087484065,0.117372734,0.003276107,0.00296507
83,0.000872011,0.002454375,0.012579153,0.016056061,0.01489677,0.002287506,0.039492619,0.007590832
84,0.005622727,0.045038752,0.040143595,0.052053265,0.099479883,0.050665623,2.65E-05,5.72E-05
85,0.133968233,0.051832073,0.170436217,0.044172248,0.156277277,0.135141707,0.097141929,0.012274331
86,0.075928605,0.109281388,0.190719118,0.095736832,0.168477198,0.052993052,0.060980773,0.076421912
87,0.113063479,0.000232927,0.177361033,0.041836809,0.208287306,0.072864054,0.110826396,0.04962321
88,0.060557977,0.143147076,0.152833285,0.236995983,0.144710423,0.319260103,0.061257017,0.089470386
89,0.106322785,0.027552332,0.095973816,0.067870602,0.087439912,0.017156395,0.035363904,0.092269695
90,0.066518518,0.020267073,0.178607626,0.020220606,0.202055902,0.04792933,0.086449311,0.000160733
91,0.001085036,0.099717365,0.006100675,0.168742275,0.004112827,0.151155852,0.001989897,0.08774137
92,0.061326239,0.100343326,0.069030254,0.120581226,0.04160789,0.066667952,0.044186065,0.032921133
93,0.011971916,0.135060755,0.001788228,0.11500494,0.005744014,0.076583913,0.039664184,0.015745192
94,0.004781646,0.055259531,0.00244118,0.061465055,6.69E-07,0.054386398,0.038181031,0.00073703
95,0.11414457,0.245689861,0.114670093,0.24965198,0.016550406,0.143833779,0.069990755,0.180496636
96,0.016504967,0.185804439,0.069663269,0.135480336,0.050871247,0.100897899,0.001804023,0.076468317
97,0.124433762,0.162472485,0.142238419,0.114595418,0.052718772,0.088161606,0.103158608,0.078161198
98,0.062023459,0.071810802,0.066584457,0.147835585,0.177205277,0.068148455,0.065638216,0.03871483
99,0.087745768,0.12230577,0.086368628,0.145060401,0.06490523,0.121040348,0.065708619,0.056651321
100,0.08438696,0.036071886,0.103185548,0.108027053,0.059587413,0.148604845,0.091046954,0.011793086
101,0.160376369,0.155400014,0.132796933,0.230784305,0.201205667,0.151309982,0.177232795,0.104887508
102,0.051884809,0.025630432,0.029928556,0.055279042,0.052845218,0.047429494,0.035496556,0.002638262
103,0.062145544,0.107020731,0.085839406,0.054952611,0.139381411,0.041991026,0.053011612,0.111206347
104,0.002810296,0.076773507,0.047905338,0.013852149,0.068006035,0.006265814,0.002252992,0.04292435
105,0.038516459,6.50E-07,0.007948269,4.01E-05,0.028654096,0.000195261,0.030724307,0.001919948
106,4.67E-05,0.020356779,0.069780868,0.039718767,0.034076592,0.021115087,0.001931222,0.013068641
107,0.002601613,0.002798069,0.001454708,0.000599727,0.000133795,0.001093795,0.012547559,0.021500818
108,0.043674835,0.05904256,0.006719801,0.005566128,0.012473821,0.007295711,0.045655875,0.049538243
109,0.165327203,0.015834564,0.10600046,0.04466545,0.089955952,0.049226399,0.223915804,0.019254562
110,0.115732554,0.201075291,0.087794622,0.167328183,0.037279827,0.036064191,0.108047233,0.199861567
111,0.006285533,0.006334915,0.000278681,0.02850144,0.006472205,3.45E-10,0.001935449,0.018661489
112,0.187957744,0.002940541,0.167216656,0.001083971,0.18164232,0.002188766,0.229023717,0.016278191
113,0.000667465,0.015304866,0.00073708,0.003538095,0.009427684,0.003451773,0.001781222,1.87E-06
114,0.092024918,0.108572143,0.153705138,0.000217166,0.051718354,0.020338125,0.170355803,0.001324704
115,0.03996469,0.004382245,0.160366228,0.016266096,0.040267689,0.027651622,0.121963029,0.018192399
116,0.038168008,0.050527085,0.163767994,0.064652793,0.027894784,0.031794886,0.062631428,0.054336476
117,0.009544675,0.022483975,0.023469961,0.011138539,0.003221221,0.006579106,0.007572472,0.025897841
118,0.075254221,0.220436073,0.000551844,0.149874774,0.053452176,0.059318198,0.051023024,0.180112715
119,0.009083943,0.085001953,0.030223046,0.048578313,0.000884554,0.029384242,0.005017439,0.034228337
120,0.2913655,0.225345595,0.074939892,0.190741054,0.036544469,0.1104758,0.302719156,0.207801128
121,0.13878087,0.12981213,0.063172586,0.069593293,0.048581212,0.022245932,0.117381621,0.040515542
122,0.070956589,0.075574832,0.00776219,0.071432697,0.019727387,0.061741146,0.071939814,0.057393907
123,0.000216908,0.122928847,0.025016024,0.080867946,0.000752524,0.049584085,0.003430299,0.040889658
124,0.141169416,0.021833771,0.171925441,0.080736244,0.133616347,0.096349769,0.199641613,0.087015257
125,0.084742168,0.12262707,0.239172475,0.12100663,0.171195581,0.190316765,0.06583899,0.067286612
