,Max_Index,Max_Value
Alpha_s_7DAYMADRS_corr,118,0.937867525
Alpha_o_7DAYMADRS_corr,8522,0.904525673
Beta_s_7DAYMADRS_corr,15092,0.829629982
Theta_o_7DAYMADRS_corr,1523,0.826755595
Gamma_o_7DAYMADRS_corr,115,0.819176229
Theta_s_7DAYMADRS_corr,14623,0.813517953
Gamma_s_7DAYMADRS_corr,90,0.776350746
Beta_o_7DAYMADRS_corr,3779,0.771710177
