,Max_Index,Max_Value
Alpha_o_7DAYMADRS_corr,8522,0.9045256725576213
Alpha_s_7DAYMADRS_corr,118,0.9378675248240295
Beta_o_7DAYMADRS_corr,3779,0.7717101766045944
Beta_s_7DAYMADRS_corr,15092,0.8296299819016835
Gamma_o_7DAYMADRS_corr,115,0.819176228968506
Gamma_s_7DAYMADRS_corr,90,0.7763507463045857
Theta_o_7DAYMADRS_corr,1523,0.8267555950208119
Theta_s_7DAYMADRS_corr,14623,0.8135179527828843
