,0
Alpha_O_24H_group0,0.2830117870465633
Alpha_S_24H_group0,0.25433212915853126
Alpha_TC_24H_group0,0.30148969259298036
Beta_DTC_24H_group0,-0.6683735267041829
Beta_O_24H_group0,-0.3304391542685257
Beta_S_24H_group0,0.2308056066767143
Beta_TC_24H_group0,0.276196685987522
Delta_DTC_24H_group0,-0.3012604526385958
Delta_O_24H_group0,-0.12806542758488657
Delta_S_24H_group0,-0.48030729028920854
Delta_TC_24H_group0,-0.4679982412619466
Gamma_DTC_24H_group0,-0.4255800926642876
Gamma_O_24H_group0,-0.2510672583024916
Gamma_S_24H_group0,0.17419189533764542
Gamma_TC_24H_group0,0.40719445931732934
Theta_DTC_24H_group0,-0.21382383366455363
Theta_O_24H_group0,0.37961948683387686
Theta_S_24H_group0,0.12247539316121021
Theta_TC_24H_group0,0.22136811740174953
Wholeband_DTC_24H_group0,-0.7193338342370585
Wholeband_O_24H_group0,0.3482670422884871
Wholeband_S_24H_group0,0.2709703823466639
Wholeband_TC_24H_group0,0.3177548823364353
Alpha_O_24H_group1,0.5011021562015961
Alpha_S_24H_group1,0.051807868559261026
Alpha_TC_24H_group1,0.1817417368993142
Beta_DTC_24H_group1,0.10356181017600681
Beta_O_24H_group1,0.3367157463859362
Beta_S_24H_group1,-0.06028767904381042
Beta_TC_24H_group1,-0.027201340999318514
Delta_DTC_24H_group1,0.07935080804025774
Delta_O_24H_group1,0.32969045514755946
Delta_S_24H_group1,0.0626120330894261
Delta_TC_24H_group1,0.02928211228079071
Gamma_DTC_24H_group1,0.1475254380162809
Gamma_O_24H_group1,0.22586566641453862
Gamma_S_24H_group1,0.21091867439721596
Gamma_TC_24H_group1,0.24176801022124086
Theta_DTC_24H_group1,-0.022320392375111863
Theta_O_24H_group1,0.3929087432507294
Theta_S_24H_group1,-0.018517629459577665
Theta_TC_24H_group1,0.03427434995400249
Wholeband_DTC_24H_group1,0.17756641295388725
Wholeband_O_24H_group1,0.5068485056373901
Wholeband_S_24H_group1,0.09538050337964919
Wholeband_TC_24H_group1,0.18275097255205686
