...1,subject_id,Group,timepoint,frequency_band,measure,value
0,RS_006_deltas,1,1H,Alpha,DTC,-0.225868035
0,RS_006_deltas,1,1H,Alpha,O,0.130845761
0,RS_006_deltas,1,1H,Alpha,S,-0.417924547
0,RS_006_deltas,1,1H,Alpha,TC,0.566395986
0,RS_006_deltas,1,1H,Beta,DTC,0.103792239
0,RS_006_deltas,1,1H,Beta,O,-0.001016274
0,RS_006_deltas,1,1H,Beta,S,0.556443381
0,RS_006_deltas,1,1H,Beta,TC,0.452651143
0,RS_006_deltas,1,1H,Delta,DTC,-0.141576065
0,RS_006_deltas,1,1H,Delta,O,0.079708617
0,RS_006_deltas,1,1H,Delta,S,0.11708929
0,RS_006_deltas,1,1H,Delta,TC,0.258665356
0,RS_006_deltas,1,1H,Gamma,DTC,0.156204089
0,RS_006_deltas,1,1H,Gamma,O,0.188251048
0,RS_006_deltas,1,1H,Gamma,S,0.782147172
0,RS_006_deltas,1,1H,Gamma,TC,0.625943083
0,RS_006_deltas,1,1H,Theta,DTC,-0.348728085
0,RS_006_deltas,1,1H,Theta,O,0.386259797
0,RS_006_deltas,1,1H,Theta,S,0.328070588
0,RS_006_deltas,1,1H,Theta,TC,0.14528448
0,RS_006_deltas,1,1H,Wholeband,DTC,-0.288054768
0,RS_006_deltas,1,1H,Wholeband,O,0.023475134
0,RS_006_deltas,1,1H,Wholeband,S,0.351503511
0,RS_006_deltas,1,1H,Wholeband,TC,0.362009626
1,RS_009_deltas,1,1H,Alpha,DTC,0.082503003
1,RS_009_deltas,1,1H,Alpha,O,1.066593002
1,RS_009_deltas,1,1H,Alpha,S,0.088774387
1,RS_009_deltas,1,1H,Alpha,TC,0.478056667
1,RS_009_deltas,1,1H,Beta,DTC,-0.018994016
1,RS_009_deltas,1,1H,Beta,O,0.717059321
1,RS_009_deltas,1,1H,Beta,S,0.046086073
1,RS_009_deltas,1,1H,Beta,TC,0.065080089
1,RS_009_deltas,1,1H,Delta,DTC,0.123590836
1,RS_009_deltas,1,1H,Delta,O,-0.00354116
1,RS_009_deltas,1,1H,Delta,S,0.173950094
1,RS_009_deltas,1,1H,Delta,TC,0.050359258
1,RS_009_deltas,1,1H,Gamma,DTC,-0.587824781
1,RS_009_deltas,1,1H,Gamma,O,0.320936833
1,RS_009_deltas,1,1H,Gamma,S,-1.144710743
1,RS_009_deltas,1,1H,Gamma,TC,-0.556885962
1,RS_009_deltas,1,1H,Theta,DTC,0.041507962
1,RS_009_deltas,1,1H,Theta,O,0.41299747
1,RS_009_deltas,1,1H,Theta,S,0.287912492
1,RS_009_deltas,1,1H,Theta,TC,-0.025566496
1,RS_009_deltas,1,1H,Wholeband,DTC,0.058743892
1,RS_009_deltas,1,1H,Wholeband,O,0.636422755
1,RS_009_deltas,1,1H,Wholeband,S,0.251995204
1,RS_009_deltas,1,1H,Wholeband,TC,0.167773763
2,RS_011_deltas,1,1H,Alpha,DTC,0.272050984
2,RS_011_deltas,1,1H,Alpha,O,0.462417667
