,Max_Index,Max_Value
Alpha_o_1HCADSS_corr,224,0.982987214798284
Alpha_s_1HCADSS_corr,7144,0.9467990058421294
Beta_o_1HCADSS_corr,3928,0.9877735519813274
Beta_s_1HCADSS_corr,557,0.9487703128233466
Gamma_o_1HCADSS_corr,5654,0.9677599784263635
Gamma_s_1HCADSS_corr,1545,0.8677310770821224
Theta_o_1HCADSS_corr,6941,0.9787106174615697
Theta_s_1HCADSS_corr,7144,0.930834667355158
